description,label
Major accident on Ring Road. Bus overturned carrying 48 passengers. Multiple casualties reported.,Highly Critical
Oil tanker fire on Mumbai-Pune Expressway. Thick black smoke visible for miles. 6 firefighters also injured in rescue.,Highly Critical
Drunk driver crashed into bus stop on Kolkata-Delhi Highway. 14 people killed. Several more in critical condition.,Highly Critical
"Fatal accident on Pune-Bangalore Highway. Vehicle caught fire after collision. 22 dead, 5 people trapped.",Highly Critical
Minor bump between school van and wall at City Mall. No children on board. Driver is fine.,Moderate
Pedestrians hit by speeding truck on Hosur Road. 13 people critically injured including children. Blood on road.,Highly Critical
Truck overturned on Eastern Express Highway spilling hazardous chemicals. Area evacuation in progress. 18 people affected.,Highly Critical
"Low-speed collision in traffic jam on Kolkata-Delhi Highway. Bumper to bumper touch. No injuries, minimal damage.",Moderate
Slow-speed rear-end hit at NH7 toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
Head-on collision between truck and car on Noida Expressway. 5 critically injured. Fuel leaking from tanker.,Highly Critical
Auto-rickshaw and car minor scrape on Western Express Highway. Slight mirror damage. Both drivers arguing but uninjured.,Moderate
"School bus accident on Pune-Bangalore Highway. Children trapped inside overturned bus. 23 injuries, parents rushing to scene.",Highly Critical
Vehicle rolled backward slightly on NH44 slope. Tapped car behind. Tiny dent. No injuries at all.,Moderate
Car went over speed bump too fast on Yamuna Expressway. Scraping sound underneath. No collision. Car seems fine.,Moderate
Car door opened into passing cyclist on Western Express Highway. Cyclist has minor elbow scratch. No serious injury.,Moderate
Cement mixer overturned on Mumbai-Pune Expressway landing on a car. 20 people crushed. Heavy crane needed to lift.,Highly Critical
Branch scratch on car roof on Station Road. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
Parking lot accident at Market Area. Car reversed into another vehicle. Paint scratches only. No injuries.,Moderate
Cement mixer overturned on Agra-Lucknow Expressway landing on a car. 22 people crushed. Heavy crane needed to lift.,Highly Critical
Major landslide on Western Express Highway burying 10 vehicles. 13 people missing. Heavy rescue equipment needed.,Highly Critical
Tree branch fell on parked car at Bypass Road. Windshield cracked. No one inside. Owner filing insurance.,Moderate
Car stalled and was lightly bumped from behind on Yamuna Expressway. No injuries. Mechanic called for tow.,Moderate
Bike skidded on Eastern Express Highway due to oil spill. Rider has minor scratches. No other vehicles involved.,Moderate
Pothole caused tire burst on Industrial Area Road. Vehicle pulled over safely. No collision. Waiting for replacement.,Moderate
"Hit and run on Bandra-Worli Sea Link. Victim dragged 900 meters. Critical injuries, massive internal bleeding.",Highly Critical
Car stalled and was lightly bumped from behind on Outer Ring Road. No injuries. Mechanic called for tow.,Moderate
Vehicle hit a stray dog on Hosur Road. Minor bumper damage. Animal ran away. Driver stopped to check.,Moderate
"Fatal accident on Agra-Lucknow Expressway. Vehicle caught fire after collision. 19 dead, 3 people trapped.",Highly Critical
Minor accident at parking garage at Commercial District. Scraped pillar while turning. No other vehicle involved.,Moderate
Branch scratch on car roof on GT Road. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
"Hit and run on Eastern Express Highway. Victim dragged 900 meters. Critical injuries, massive internal bleeding.",Highly Critical
Auto-rickshaw and car minor scrape on Eastern Express Highway. Slight mirror damage. Both drivers arguing but uninjured.,Moderate
Explosion at accident site on GT Road after fuel tanker collision. Fire spreading rapidly. 18 casualties.,Highly Critical
Oil tanker fire on MG Road. Thick black smoke visible for miles. 17 firefighters also injured in rescue.,Highly Critical
Electric scooter tipped over on Ring Road. Rider unhurt but scooter has broken footrest. No collision.,Moderate
Car door opened into passing cyclist on NH44. Cyclist has minor elbow scratch. No serious injury.,Moderate
Bridge collapse on Station Road due to heavy vehicle overload. Multiple vehicles fallen. 24 people trapped below.,Highly Critical
